width,length,weight,cost
144,170,1150,-
70,10,2,44
50,30,18,21
80,70,20,27
80,10,66,14
40,30,62,88
20,20,100,96
60,100,24,69
100,90,84,47
80,30,60,57
30,60,14,14
90,30,6,96
70,20,51,39
100,80,41,91
30,60,74,59
10,50,7,69
20,60,22,56
90,10,80,38
100,50,23,32
80,50,4,99
90,50,30,96
90,100,91,3
90,40,20,99
40,60,97,78
20,70,12,98
50,40,36,34
90,100,8,24
60,70,45,37
100,20,45,18
80,100,61,30
20,100,42,53
10,80,78,38
90,100,11,55
90,100,89,92
80,20,97,52
40,90,2,11
40,10,93,83
10,30,83,95
50,90,8,84
100,100,34,34
100,90,28,51

